# Unicode version -> year of record
# Source: https://www.unicode.org/versions/enumeratedversions.html (retrieved 2026-08-12)
# extracted mechanically from the Year column of the Archive of Unicode Versions table
version	year
17.0.0	2025
16.0.0	2024
15.1.0	2023
15.0.0	2022
14.0.0	2021
13.0.0	2020
12.1.0	2019
12.0.0	2019
11.0.0	2018
10.0.0	2017
9.0.0	2016
8.0.0	2015
7.0.0	2014
6.3.0	2013
6.2.0	2012
6.1.0	2012
6.0.0	2010
5.2.0	2009
5.1.0	2008
5.0.0	2006
4.1.0	2005
4.0.1	2004
4.0.0	2003
3.2.0	2002
3.1.1	2001
3.1.0	2001
3.0.1	2000
3.0.0	1999
2.1.9	1999
2.1.8	1998
2.1.5	1998
2.1.2	1998
2.0.0	1996
1.1.5	1995
1.1.0	1993
1.0.1	1992
1.0.0	1991
