name,first_release,first_date,last_release,last_date,present_now,ever_zone,ever_link,final_state,final_target,demotions,releases_present
Africa/Abidjan,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Accra,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Addis_Ababa,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Nairobi,1,272
Africa/Algiers,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Asmara,tzdata2007a,2007-01-08,tzdata2026c,2026-07-08,1,1,1,L,Africa/Nairobi,1,161
Africa/Asmera,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Nairobi,1,272
Africa/Bamako,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Bangui,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Lagos,1,272
Africa/Banjul,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Bissau,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Blantyre,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Maputo,1,272
Africa/Brazzaville,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Lagos,1,272
Africa/Bujumbura,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Maputo,1,272
Africa/Cairo,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Casablanca,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Ceuta,tzdata96k,1996-09-08,tzdata2026c,2026-07-08,1,1,0,Z,,0,247
Africa/Conakry,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Dakar,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Dar_es_Salaam,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Nairobi,1,272
Africa/Djibouti,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Nairobi,1,272
Africa/Douala,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Lagos,1,272
Africa/El_Aaiun,tzdata96k,1996-09-08,tzdata2026c,2026-07-08,1,1,0,Z,,0,247
Africa/Freetown,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Gaborone,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Maputo,1,272
Africa/Harare,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Maputo,1,272
Africa/Johannesburg,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Juba,tzdata2011i,2011-08-17,tzdata2026c,2026-07-08,1,1,1,Z,,1,97
Africa/Kampala,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Nairobi,1,272
Africa/Khartoum,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Kigali,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Maputo,1,272
Africa/Kinshasa,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Lagos,1,272
Africa/Lagos,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,0,Z,,0,272
Africa/Libreville,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Lagos,1,272
Africa/Lome,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Abidjan,1,272
Africa/Luanda,tzdata93g,1993-11-22,tzdata2026c,2026-07-08,1,1,1,L,Africa/Lagos,1,272
Africa/Lubumbashi,tzdata96k,1996-09-08,tzdata2026c,2026-07-08,1,1,1,L,Africa/Maputo,1,247
