release,date,zones,links,backzone,added,removed,demoted,promoted
tzdata93g,1993-11-22,315,94,0,0,0,0,0
tzdata94a,1994-02-03,315,94,0,0,0,0,0
tzdata94b,1994-02-07,317,94,0,3,1,0,0
tzdata94d,1994-02-24,317,89,0,34,39,1,0
tzdata94e,1994-06-04,319,89,0,2,0,0,0
tzdata94f,1994-08-20,320,89,0,2,1,0,0
tzdata94h,1994-12-10,321,89,0,4,3,0,0
tzdata95b,1995-02-21,321,92,0,3,0,0,0
tzdata95c,1995-07-02,319,93,0,1,2,1,0
tzdata95d,1995-07-03,320,93,0,2,1,0,0
tzdata95e,1995-07-08,320,93,0,0,0,0,0
tzdata95f,1995-08-29,320,93,0,0,0,0,0
tzdata95g,1995-09-01,320,93,0,0,0,0,0
tzdata95h,1995-09-21,320,93,0,0,0,0,0
tzdata95i,1995-09-26,320,93,0,0,0,0,0
tzdata95k,1995-10-30,325,95,0,7,0,2,0
tzdata95l,1995-12-19,325,95,0,0,0,0,0
tzdata95m,1995-12-21,337,100,0,17,0,4,0
tzdata96a,1996-01-06,337,100,0,0,0,0,0
tzdata96b,1996-01-27,337,101,0,1,0,1,0
tzdata96c,1996-02-12,337,101,0,0,0,0,0
tzdata96d,1996-03-19,338,101,0,1,0,0,0
tzdata96e,1996-03-19,338,101,0,0,0,0,0
tzdata96h,1996-05-09,339,101,0,2,1,0,0
tzdata96i,1996-07-01,351,101,0,12,0,0,0
tzdata96k,1996-09-08,359,102,0,10,1,0,1
tzdata1996l,1996-11-05,359,102,0,0,0,0,0
tzdata1996n,1996-12-28,374,100,0,15,2,0,2
tzdata1997a,1997-01-21,376,100,0,2,0,0,0
tzdata1997b,1997-02-27,376,100,0,0,0,0,0
tzdata1997c,1997-03-04,376,100,0,0,0,0,0
tzdata1997d,1997-03-07,376,100,0,0,0,0,0
tzdata1997e,1997-03-29,376,100,0,0,0,0,0
tzdata1997f,1997-05-03,376,100,0,0,0,0,0
tzdata1997g,1997-07-19,376,100,0,0,0,0,0
tzdata1997h,1997-09-04,376,100,0,0,0,0,0
tzdata1997i,1997-10-07,376,100,0,0,0,0,0
tzdata1997j,1997-12-18,376,100,0,0,0,0,0
tzdata1997k,1997-12-29,372,104,0,0,0,4,0
tzdata1998a,1998-01-13,372,104,0,0,0,0,0
tzdata1998b,1998-01-17,372,104,0,0,0,0,0
tzdata1998c,1998-02-28,372,104,0,0,0,0,0
tzdata1998d,1998-05-14,372,104,0,0,0,0,0
tzdata1998e,1998-05-28,373,104,0,1,0,0,0
tzdata1998h,1998-09-24,376,104,0,4,1,0,0
tzdata1998i,1998-10-01,376,104,0,0,0,0,0
tzdata1999a,1999-01-19,376,104,0,0,0,0,0
tzdata1999b,1999-02-01,378,104,0,3,1,0,0
tzdata1999c,1999-03-25,379,104,0,1,0,0,0
tzdata1999d,1999-03-30,379,104,0,0,0,0,0
tzdata1999e,1999-08-17,379,104,0,0,0,0,0
tzdata1999f,1999-09-23,380,104,0,1,0,0,0
tzdata1999g,1999-09-28,380,104,0,0,0,0,0
tzdata1999h,1999-10-07,380,104,0,0,0,0,0
tzdata1999i,1999-11-08,381,105,0,2,0,1,0
tzdata1999j,1999-11-13,384,105,0,3,0,0,0
tzdata2000a,2000-01-18,386,107,0,4,0,1,0
tzdata2000b,2000-02-21,386,107,0,0,0,0,0
tzdata2000c,2000-03-04,386,107,0,0,0,0,0
tzdata2000d,2000-03-14,386,107,0,0,0,0,0
tzdata2000e,2000-07-31,388,107,0,2,0,0,0
tzdata2000f,2000-08-10,388,107,0,0,0,0,0
tzdata2000g,2000-10-10,389,111,0,5,0,2,0
tzdata2000h,2000-12-14,391,112,0,3,0,1,0
tzdata2001a,2001-03-13,391,114,0,2,0,2,0
tzdata2001b,2001-04-05,391,114,0,0,0,0,0
tzdata2001c,2001-06-05,391,115,0,1,0,1,0
tzdata2001d,2001-10-09,395,116,0,5,0,1,0
tzdata2002b,2002-01-28,397,117,0,3,0,1,0
tzdata2002c,2002-04-04,396,119,0,1,0,2,0
tzdata2002d,2002-10-15,396,119,0,0,0,0,0
tzdata2003a,2003-03-24,397,119,0,1,0,0,0
tzdata2003b,2003-09-16,397,119,0,0,0,0,0
tzdata2003c,2003-09-16,397,119,0,0,0,0,0
tzdata2003d,2003-10-06,400,119,0,3,0,0,0
tzdata2003e,2003-12-15,400,119,0,0,0,0,0
tzdata2004a,2004-05-27,400,119,0,0,0,0,0
tzdata2004b,2004-07-19,406,125,0,12,0,5,0
tzdata2004d,2004-09-22,406,125,0,0,0,0,0
tzdata2004e,2004-10-11,406,125,0,0,0,0,0
tzdata2004g,2004-11-02,406,125,0,0,0,0,0
tzdata2005a,2004-12-14,406,125,0,0,0,0,0
tzdata2005b,2005-01-10,406,125,0,0,0,0,0
tzdata2005c,2005-01-17,406,125,0,0,0,0,0
tzdata2005e,2005-02-07,406,125,0,0,0,0,0
tzdata2005f,2005-03-01,406,125,0,0,0,0,0
tzdata2005g,2005-03-14,406,125,0,0,0,0,0
tzdata2005h,2005-04-04,406,125,0,0,0,0,0
tzdata2005i,2005-04-21,406,125,0,0,0,0,0
tzdata2005j,2005-05-26,406,125,0,0,0,0,0
tzdata2005k,2005-07-14,406,125,0,0,0,0,0
tzdata2005l,2005-08-22,404,129,0,2,0,6,2
tzdata2005m,2005-08-29,404,129,0,0,0,0,0
tzdata2005n,2005-10-03,404,129,0,0,0,0,0
tzdata2005o,2005-11-28,404,129,0,0,0,0,0
tzdata2005p,2005-11-29,404,129,0,0,0,0,0
tzdata2005q,2005-12-12,404,129,0,0,0,0,0
tzdata2005r,2005-12-27,411,122,0,0,0,0,7
tzdata2006a,2006-01-30,414,122,0,3,0,0,0
tzdata2006b,2006-02-20,414,122,0,0,0,0,0
tzdata2006c,2006-04-03,415,122,0,1,0,0,0
tzdata2006d,2006-04-17,415,122,0,0,0,0,0
tzdata2006f,2006-05-01,415,122,0,0,0,0,0
tzdata2006g,2006-05-08,415,122,0,0,0,0,0
tzdata2006j,2006-08-21,417,126,0,6,0,1,0
tzdata2006k,2006-08-28,417,126,0,0,0,0,0
tzdata2006l,2006-09-18,417,126,0,0,0,0,0
tzdata2006m,2006-10-02,417,126,0,0,0,0,0
tzdata2006n,2006-10-10,417,127,0,1,0,0,0
tzdata2006o,2006-11-06,417,127,0,0,0,0,0
tzdata2006p,2006-11-27,417,127,0,0,0,0,0
tzdata2007a,2007-01-08,418,129,0,3,0,2,0
tzdata2007b,2007-02-01,418,129,0,0,0,0,0
tzdata2007c,2007-02-26,419,129,0,1,0,0,0
tzdata2007d,2007-03-20,420,129,0,1,0,0,0
tzdata2007e,2007-04-02,420,129,0,0,0,0,0
tzdata2007f,2007-05-07,420,129,0,0,0,0,0
tzdata2007g,2007-08-20,421,129,0,1,0,0,0
tzdata2007h,2007-10-01,421,129,0,0,0,0,0
tzdata2007i,2007-10-30,421,129,0,0,0,0,0
tzdata2007j,2007-12-03,421,131,0,2,0,0,0
tzdata2007k,2007-12-31,421,131,0,0,0,0,0
tzdata2008a,2008-03-05,421,131,0,0,0,0,0
tzdata2008b,2008-03-24,422,133,0,3,0,2,0
tzdata2008c,2008-05-19,422,133,0,0,0,0,0
tzdata2008d,2008-07-07,423,133,0,1,0,0,0
tzdata2008e,2008-07-28,423,133,0,0,0,0,0
tzdata2008f,2008-09-10,423,133,0,0,0,0,0
tzdata2008g,2008-09-29,423,133,0,0,0,0,0
tzdata2008h,2008-10-08,423,133,0,0,0,0,0
tzdata2008i,2008-10-21,424,133,0,1,0,0,0
tzdata2009a,2009-01-21,424,134,0,1,0,1,0
tzdata2009b,2009-01-27,424,134,0,0,0,0,0
tzdata2009c,2009-03-16,424,134,0,0,0,0,0
tzdata2009d,2009-03-23,424,134,0,0,0,0,0
tzdata2009e,2009-04-06,424,134,0,0,0,0,0
tzdata2009f,2009-04-10,424,134,0,0,0,0,0
tzdata2009g,2009-04-20,424,134,0,0,0,0,0
tzdata2009h,2009-05-17,424,134,0,0,0,0,0
tzdata2009i,2009-06-02,424,134,0,0,0,0,0
tzdata2009j,2009-06-15,424,134,0,0,0,0,0
tzdata2009k,2009-07-20,424,134,0,0,0,0,0
tzdata2009l,2009-08-14,424,134,0,0,0,0,0
tzdata2009m,2009-09-03,424,134,0,0,0,0,0
tzdata2009n,2009-09-22,424,134,0,0,0,0,0
tzdata2009o,2009-10-14,424,134,0,0,0,0,0
tzdata2009p,2009-10-23,424,134,0,0,0,0,0
tzdata2009q,2009-10-29,425,134,0,1,0,0,0
tzdata2009r,2009-11-04,425,134,0,0,0,0,0
tzdata2009s,2009-11-14,425,134,0,0,0,0,0
tzdata2009t,2009-12-17,425,134,0,0,0,0,0
tzdata2009u,2009-12-26,425,134,0,0,0,0,0
tzdata2010a,2010-01-18,425,134,0,0,0,0,0
tzdata2010b,2010-01-20,428,134,0,3,0,0,0
tzdata2010c,2010-02-24,428,134,0,0,0,0,0
tzdata2010d,2010-03-06,428,134,0,0,0,0,0
tzdata2010e,2010-03-08,428,134,0,0,0,0,0
tzdata2010f,2010-03-17,429,134,0,1,0,0,0
tzdata2010g,2010-03-24,429,134,0,0,0,0,0
tzdata2010h,2010-04-05,429,134,0,0,0,0,0
tzdata2010i,2010-04-16,429,134,0,0,0,0,0
tzdata2010j,2010-05-10,430,134,0,1,0,0,0
tzdata2010k,2010-07-26,430,136,0,2,0,2,0
tzdata2010l,2010-08-16,430,136,0,0,0,0,0
tzdata2010m,2010-09-27,430,136,0,0,0,0,0
tzdata2010n,2010-10-12,430,136,0,0,0,0,0
