airport,le_ident,he_ident,lat,lon,true_bearing_deg,declination_2026_deg,residual_2026_deg,residual_1976_deg,went_wrong_year
00CA,04,22,35.3548,-116.8855,48.167,11.281,-3.114,-6.611,
00WI,09,27,44.3043,-89.0501,85.761,-3.343,-0.897,-5.378,
01A,5,23,62.94076,-152.26961,70.317,13.114,7.203,-4.922,2019.23
01J,18,36,30.6863,-81.9057,172.488,-6.876,-0.636,-5.992,
01LS,09,27,30.7226,-91.07735,92.328,-0.956,3.284,-2.269,
01MT,13,31,48.78915,-114.8805,148.142,13.169,4.973,-1.889,
01WI,01,19,44.0087,-90.38985,8.637,-2.272,0.908,-3.873,
02FD,1,19,30.95235,-86.63545,5.691,-3.873,-0.436,-6.089,
04CA,8,26,34.56665,-117.67025,89.721,11.319,-1.598,-4.926,
04CL,08,26,33.0816,-116.44024,96.703,10.764,5.938,2.771,2014.87
04I,06,24,39.91115,-83.18875,57.974,-7.089,5.062,1.101,2022.83
04MS,17,35,32.93955,-90.8373,180.0,-1.232,11.232,5.715,1970.63
04NV,02,20,35.7555,-115.665,33.443,11.043,2.4,-1.23,
04TT,18,36,29.71312,-99.54563,181.811,4.047,-2.237,-6.848,
04V,10,28,38.0991,-106.1745,118.814,7.918,10.896,6.235,1953.33
04W,06,24,46.02285,-92.89515,65.816,-0.474,6.29,1.232,2005.88
05CL,10,28,38.61085,-122.3915,117.517,13.021,4.496,0.55,
05LS,02,20,31.25,-92.4769,22.531,-0.085,2.617,-2.835,
05PS,06,24,40.1436,-77.86275,41.336,-10.433,-8.231,-10.495,
05V,03,21,37.41115,-105.553,41.324,7.551,3.772,-0.85,
05Y,17,35,46.304,-95.4423,180.0,1.513,8.487,3.038,1989.72
06FA,09,27,26.90815,-80.32845,89.7,-7.422,7.123,1.438,2001.94
06MO,15,33,39.23155,-94.8043,156.482,1.243,5.24,-0.114,2023.11
06N,08,26,41.43195,-74.39155,62.919,-12.415,-4.665,-5.114,
06TT,13,31,30.86,-100.202,132.254,4.421,-2.168,-6.766,
06WN,09,27,46.92495,-122.553,111.507,14.789,6.718,0.505,2011.86
06Y,14,32,45.8297,-96.1605,148.253,2.082,6.171,0.646,2009.91
07B,16,34,44.448,-68.5697,149.695,-15.129,4.824,8.199,
07FA,04,22,25.3254,-80.2748,40.385,-7.28,7.664,1.787,1998.26
07IA,18,36,40.64789,-95.02135,176.8,1.368,-4.568,-9.933,
07K,15,33,41.11155,-98.05135,163.092,3.456,9.636,4.243,1981.18
07MT,10,28,48.42105,-106.528,120.054,9.222,10.832,4.224,1980.68
07TE,13,31,27.7211,-97.51195,133.574,2.958,0.616,-4.166,
07Y,16,34,46.9558,-93.59745,161.1,0.016,1.084,-4.058,
08B,14,32,44.0,-69.88715,129.593,-14.651,4.243,6.844,
08MS,07,25,34.66225,-89.86835,70.078,-1.983,2.061,-3.401,
08R,11,29,41.4895,-71.62065,97.84,-13.575,1.415,2.166,
08UT,10,28,38.33502,-109.13518,127.356,9.254,18.102,13.626,
09CL,01,19,39.11375,-121.0565,27.432,12.894,4.538,0.462,
09FA,18,36,27.24555,-81.4131,180.0,-6.809,6.809,1.062,2005.89
09S,16,34,48.8409,-117.284,180.0,13.966,6.034,-0.858,2016.75
09TS,09,27,29.4824,-103.1645,89.997,5.787,-5.79,-9.898,
0AZ2,12,30,33.77805,-113.642,128.972,10.146,-1.174,-4.634,
0AZ2,17,35,33.77805,-113.6415,185.022,10.146,4.876,1.416,
0B2,01,19,44.76385,-68.7678,347.987,-15.145,-6.868,-3.426,2009.4
0C1,02,20,39.4878,-94.7805,18.014,1.221,-3.208,-8.563,
0C2,09,27,41.7709,-88.70355,89.997,-3.346,3.343,-1.418,
0C5,18,36,43.5764,-85.2806,180.0,-6.11,6.11,2.428,1997.99
0C7,18,36,41.52185,-89.13265,178.042,-3.002,1.044,-3.812,
0C8,18,36,41.5195,-88.6051,180.0,-3.395,3.395,-1.381,
0CA3,10,28,34.58894,-120.0156,116.936,11.806,5.13,1.9,2024.97
0CA6,04,22,32.74943,-116.01622,59.948,10.604,9.344,6.198,1942.47
0CA9,16,34,35.59485,-120.3385,174.873,12.063,2.81,-0.585,
0CO2,11,29,38.8516,-106.932,120.822,8.355,2.467,-2.242,
0D7,09,27,40.7906,-83.82905,89.998,-6.765,6.762,2.835,1993.26
0G0,10,28,43.1032,-78.70335,91.472,-10.444,1.917,0.345,
0H7,10,28,40.4217,-91.70665,99.359,-1.015,0.374,-4.851,
0I2,09,27,39.47675,-87.0997,90.702,-4.301,5.003,0.187,2026.54
0ID2,11,29,44.44285,-113.773,109.523,11.981,-12.458,-17.978,
0IL7,18,36,39.78292,-88.54671,179.757,-3.282,3.039,-1.935,
0J0,17,35,31.60015,-85.23815,171.999,-4.846,6.845,1.299,2004.97
0KY1,10,28,36.76555,-86.6183,97.225,-4.387,1.613,-3.488,
0MI8,17,35,44.89256,-84.3005,168.841,-7.032,5.873,2.832,1995.22
0MI8,4,22,44.8941,-84.29795,35.834,-7.034,2.868,-0.172,
0MS0,04,22,32.475,-88.61665,39.887,-2.683,2.569,-3.004,
0N0,18,36,39.2898,-94.44245,186.411,0.99,5.421,0.067,2020.48
0N4,04,22,39.2023,-75.48545,27.256,-11.536,-1.208,-2.9,
0N6,15,33,39.01285,-75.53395,143.26,-11.484,4.744,2.971,
0NE6,17,35,40.43335,-98.0706,175.676,3.457,2.219,-3.136,
0O4,16,34,39.9436,-122.171,180.0,13.258,6.742,2.496,2008.55
0O9,06,24,41.8456,-123.9845,81.712,13.928,7.784,3.08,2001.25
0OH8,03,21,40.18835,-84.25605,24.716,-6.392,1.108,-3.049,
0OK3,16,34,35.61945,-98.5225,170.244,3.633,6.611,1.545,2009.83
0P1,16,34,39.8317,-99.56845,166.942,4.406,2.536,-2.732,
0Q3,07,25,38.2233,-122.448,89.997,12.951,7.046,3.183,2004.89
0Q3,17,35,38.225,-122.453,180.0,12.952,-2.952,-6.815,
0Q9,08,26,38.2574,-122.434,98.997,12.956,6.041,2.172,2014.1
0R2,18,36,38.40235,-93.3323,182.208,0.238,1.969,-3.385,
0R7,17,35,31.9903,-93.3079,180.0,0.416,9.584,4.195,1982.31
0S5,15,33,46.23855,-116.2385,173.91,13.132,10.778,4.778,1977.78
0TA7,05,23,30.1446,-103.8995,57.496,6.157,1.34,-2.726,
0TA7,12,30,30.15265,-103.8995,128.231,6.157,2.074,-1.993,
0TA7,15,33,30.15475,-103.896,158.283,6.156,2.127,-1.94,
0TE4,16,34,31.081,-96.21525,164.93,2.214,2.716,-2.377,
0TE5,17,35,27.4338,-99.1859,170.014,3.823,-3.809,-8.334,
0TE7,17,35,30.2518,-98.62255,175.091,3.57,1.522,-3.242,
0TX1,18,36,32.354,-97.6764,185.052,3.071,1.98,-3.003,
0U1,02,20,44.1422,-115.3145,40.045,12.446,7.599,2.19,2004.29
0U2,12,30,43.80195,-113.8315,141.165,11.89,9.275,3.921,1987.37
0U3,03,21,44.7446,-114.9215,54.217,12.429,11.788,6.209,1953.11
0U7,05,23,43.32375,-113.5905,73.876,11.722,12.154,6.913,1934.69
0U8,09,27,44.61035,-113.895,105.215,12.054,3.161,-2.401,
0WI4,08,26,43.82945,-89.3525,82.88,-3.057,5.938,1.328,2007.38
0XA4,15,33,27.99695,-98.8822,155.556,3.675,1.881,-2.721,
0XA5,13,31,28.6849,-98.38275,135.312,3.422,1.89,-2.821,
0XS7,13,31,29.19185,-100.275,139.882,4.404,5.478,0.998,2021.02
0Y4,17,35,43.1642,-95.47,178.776,1.637,7.139,1.73,2002.68
0Y6,18,36,43.41365,-93.51175,179.555,0.169,-0.614,-5.865,
10AZ,08,26,33.3664,-112.6185,89.997,9.777,0.22,-3.263,
10D,09,27,44.9538,-94.0654,89.996,0.512,-0.517,-5.792,
11IA,18,36,42.34995,-92.51339,180.0,-0.526,0.526,-4.669,
11II,18,36,39.3417,-86.03055,177.214,-5.05,2.264,-2.401,
11S,08,26,48.26615,-124.314,100.593,15.355,5.238,-1.468,2024.63
12A,18,36,35.1784,-92.3354,183.219,-0.333,3.551,-1.869,
12NC,01,19,34.8738,-76.34915,0.488,-10.524,1.012,-2.277,
12NC,05,23,34.87535,-76.3516,46.434,-10.523,6.957,3.668,1986.93
12NC,10,28,34.87845,-76.34925,90.619,-10.524,1.144,-2.143,
